dataset_index,full_name,pdes,neo,a,e,i,q,om,w,moid,diameter,E_M_useful_kg,sigma_M_kg,value_usd,comp_class,value_per_kg,total_mass_kg,dv_out_kms,cargo_LLO_kg,dry_mass_kg,prop_mass_kg,tof_out_days,loiter_days,tof_ret_days,mission_time_days,mission_cost_usd,revenue_LLO_usd,net_cost_usd,direct_cost_usd,feasible,verdict,profit_usd,direct_minus_mining_usd,total_time_years
607005,       (2010 KD85),2010 KD85,N,3.787449118592075,0.3037548672190652,25.42025688166069,2.636993014475174,291.7764924717159,249.4338988299864,1.76276,2.617,4767874266448.343,476787426644.8343,0.9999,C,0.9999,12481346247246.97,8.59713337813524,39582.86829562152,55000.0,1957246.5221921892,445.7627118644068,1881.966101694915,372.08474576271186,2699.8135593220336,2017653629.468805,39578.91000879196,2017614050.5587962,244529596.20488355,True,direct_cheaper_than_mining,-2017614050.5587962,-1773084454.3539126,7.39168667849975
99145, 99146 (2001 FH117),99146,N,2.661155128796007,0.1533369062990114,22.88540778553539,2.25310183416468,25.50549202338842,74.30560853270462,1.37099,7.350,105627169821350.48,10562716982135.049,0.9999,C,0.9999,276510915762697.56,7.221085517471182,54051.90321490889,55000.0,1778744.460381567,532.2033898305085,643.8305084745763,495.77966101694915,1671.8135593220338,1839114439.2293262,54046.498024587396,1839060392.7313015,281172194.956054,True,direct_cheaper_than_mining,-1839060392.7313015,-1557888197.7752476,4.57717606932795
432207,432208 (2009 DS135),432208,N,3.150431150286711,0.0485428648760562,26.51536644931038,2.997500196657025,201.6369588703805,81.88059170673615,2.07943,5.507,44428214055312.98,4442821405531.298,0.9999,C,0.9999,116304225275688.42,7.318202195635099,39788.885263814125,55000.0,1917013.7564177727,445.7627118644068,1089.5593220338983,433.93220338983053,1969.2542372881358,1977412495.2791076,39784.90637528774,1977372710.3727324,245051330.87091517,True,direct_cheaper_than_mining,-1977372710.3727324,-1732321379.5018172,5.391524263622548
165911,165912 (2001 TE7),165912,N,3.176982161001205,0.2190291912958024,27.27905707117547,2.481130327515921,211.2187574650933,318.2624532980523,1.53266,9.427,222861037215714.1,22286103721571.41,0.9999,C,0.9999,583405856585639.0,7.980698440629575,47813.59640979605,55000.0,1820281.7057875842,877.9661016949153,0.0,619.4745762711864,1497.4406779661017,1880660324.382388,47808.81505015508,1880612515.567338,265373783.0770602,True,direct_cheaper_than_mining,-1880612515.567338,-1615238732.4902778,4.0997691388531186
603746,       (2010 GN165),2010 GN165,N,3.458451455110398,0.3094546759934336,26.15757690229519,2.388217480630191,218.3390050116538,263.1814605725811,1.56052,2.810,5902453656932.657,590245365693.2657,0.9999,C,0.9999,15451449363698.055,7.415030190354095,39609.24190369065,55000.0,2190299.4475726546,762.7118644067797,742.8813559322034,928.7118644067797,2434.3050847457625,2250755029.85775,39605.28097950028,2250715424.5767703,244596386.94410622,True,direct_cheaper_than_mining,-2250715424.5767703,-2006119037.6326642,6.664764092390863
117992,117993 Zambujal (1064 T-2),117993,N,4.020584947189636,0.267830735586845,1.859044284646111,2.943748723294439,341.1977657809156,350.5030353882162,1.93239,10.998,353878984408722.56,35387898440872.26,0.9999,C,0.9999,926384775939064.2,9.838242994328441,71157.4181236084,55000.0,1201912.376683911,877.9661016949153,544.7796610169491,805.0169491525423,2227.762711864407,1262162374.4582613,71150.30238179603,1262091224.1558795,324491636.97330445,True,direct_cheaper_than_mining,-1262091224.1558795,-937599587.182575,6.099281894221511
315933,315934 (2008 SV279),315934,N,5.15328607275718,0.1205626698047804,5.21246347858333,4.531992145557783,16.32608061492858,30.64383434250712,3.5425,11.106,364406935163501.5,36440693516350.15,0.9999,C,0.9999,953944856448956.8,9.517517200246711,44308.90385050827,55000.0,1880581.1961644392,849.1525423728814,2129.593220338983,805.0169491525423,3783.762711864407,1940972357.0532415,44304.472960123225,1940928052.5802813,256498205.4098166,True,direct_cheaper_than_mining,-1940928052.5802813,-1684429847.1704648,10.35937771899906
5998,  5999 Plescia (1987 HA),5999,N,2.279979355546728,0.3056406057503995,23.17229443502577,1.583125084219021,71.13597171336741,71.48144673633787,0.731503,7.078,94329015349687.86,9432901534968.787,0.9999,C,0.9999,246934595156250.94,6.688011649113511,59444.21358416126,55000.0,1188846.558044365,301.6949152542373,0.0,433.93220338983053,735.6271186440679,1249093838.1284382,59438.26916280285,1249034399.8592753,294828134.4367794,True,direct_cheaper_than_mining,-1249034399.8592753,-954206265.422496,2.0140372858153808
609847,       (2010 MN102),2010 MN102,N,2.309447743240034,0.0506174200504543,27.13507197184454,2.192549456735879,53.65991911869293,27.04254393501596,1.21465,2.362,3505526915823.3545,350552691582.33545,0.9999,C,0.9999,9176772030951.19,8.1479213295521,48113.14151348962,55000.0,1769963.6330248043,359.3220338983051,1981.0169491525423,372.08474576271186,2712.4237288135596,1830331785.4604735,48108.33019933828,1830283677.1302743,266132376.24541932,True,direct_cheaper_than_mining,-1830283677.1302743,-1564151300.884855,7.426211440967993
169428,169429 (2001 YP149),169429,N,3.517352198557337,0.0741256682123474,10.73170416073268,3.256626116501105,54.42179936279086,23.70616499140493,2.27469,6.497,72954523711819.92,7295452371181.992,0.9999,C,0.9999,190980428564973.62,8.134114586472666,60372.17402138408,55000.0,1256167.3540035328,618.6440677966102,0.0,866.8644067796611,1485.5084745762713,1316428636.8131657,60366.13680398194,1316368270.6763618,297178179.35323685,True,direct_cheaper_than_mining,-1316368270.6763618,-1019190091.3231249,4.067100546410051
