dataset_index,full_name,pdes,neo,a,e,i,moid,diameter,E_M_useful_kg,sigma_M_kg,value_usd,comp_class,value_per_kg,total_mass_kg,dv_out_kms,cargo_LLO_kg,dry_mass_kg,prop_mass_kg,tof_out_days,loiter_days,tof_ret_days,mission_time_days,mission_cost_usd,revenue_LLO_usd,net_cost_usd,direct_cost_usd,feasible,verdict,profit_usd,direct_minus_mining_usd,total_time_years
453478,453479 (2009 SN235),453479,N,3.185575573230414,0.2993563575821901,26.67394456612908,1.40045,5.050,34260031705769.867,3426003170576.987,0.9999,C,0.9999,89685946873743.11,8.981964978536107,38657.60431592149,55000.0,2855777.560166949,849.1525423728814,2080.0677966101694,372.08474576271186,3301.3050847457625,2916371561.8994637,38653.7385554899,2916332908.160908,242186380.023833,True,direct_cheaper_than_mining,-2916332908.160908,-2674146528.1370754,9.038480724834395
155634,155635 (2000 GL4),155635,N,2.305233827198247,0.2038747317830107,22.83745103412344,0.853363,2.385,3608932641674.1006,360893264167.4101,0.9999,C,0.9999,9447467648361.52,6.795956259840109,56434.73599667188,55000.0,1533229.4356789694,388.135593220339,1782.915254237288,619.4745762711864,2790.5254237288136,1593548347.4015906,56429.09252307221,1593491918.3090675,287206680.7389923,True,direct_cheaper_than_mining,-1593491918.3090675,-1306285237.5700753,7.640042227868073
608489,       (2010 LY100),2010 LY100,N,3.351140462686459,0.1285810184191272,28.32589130819792,2.07064,5.475,43658217156958.72,4365821715695.872,0.9999,C,0.9999,114288526588897.17,7.758318924882281,33508.58166806887,55000.0,2296469.7467975537,820.3389830508474,2228.64406779661,619.4745762711864,3668.4576271186443,2356947412.5048876,33505.23080990207,2356913907.274078,229146562.79355946,True,direct_cheaper_than_mining,-2356913907.274078,-2127767344.4805183,10.043689601967541
86366, 86367 (1999 XY223),86367,N,3.376182671060243,0.2598565533790273,6.087874768429376,1.51167,6.277,65791533937240.41,6579153393724.041,0.9999,C,0.9999,172229146432566.5,8.506110648668525,62384.34165450935,55000.0,1207833.4895691162,733.8983050847457,891.457627118644,805.0169491525423,2430.372881355932,1268084718.9349465,62378.1032203439,1268022340.831726,302273961.5952451,True,direct_cheaper_than_mining,-1268022340.831726,-965748379.236481,6.653998306244851
32459, 32460 (2000 SY92),32460,N,3.954899941864044,0.3073639227302783,10.99976678887003,1.75479,19.528,1981011174957257.5,198101117495725.75,0.9999,C,0.9999,5185893128160360.0,9.029263474283166,64048.22660829984,55000.0,1205040.931729856,820.3389830508474,0.0,990.5593220338983,1810.8983050847457,1265291580.243656,64041.82178563901,1265227538.4218702,306487723.5406657,True,direct_cheaper_than_mining,-1265227538.4218702,-958739814.8812046,4.957969349992459
474831,474832 (2005 SQ59),474832,N,3.078531187589645,0.2127949597654406,20.30774244659821,1.51134,2.502,4166539872651.988,416653987265.1988,0.9999,C,0.9999,10907172441497.35,8.149325174233947,48374.48516286384,55000.0,1510999.372773614,445.7627118644068,0.0,681.3220338983051,1127.084745762712,1571313660.6431508,48369.64771434756,1571265290.9954364,266794224.8437264,True,direct_cheaper_than_mining,-1571265290.9954364,-1304471066.15171,3.085789858351025
325704,325705 (2009 UB72),325705,N,3.397995676259041,0.1039229490764015,5.522039214119542,2.055,4.858,30499039161618.586,3049903916161.8584,0.9999,C,0.9999,79840416653451.78,7.94380046466983,59046.43822152229,55000.0,1220936.1510932434,820.3389830508474,49.52542372881356,619.4745762711864,1489.3389830508472,1281190105.8126707,59040.53357770014,1281131065.279093,293820774.7139238,True,direct_cheaper_than_mining,-1281131065.279093,-987310290.5651692,4.077587907052285
97704, 97705 (2000 GM77),97705,N,3.008445994813761,0.2496150158685146,1.472029261518085,1.24187,5.800,51903615010962.195,5190361501096.22,0.9999,C,0.9999,135873337725031.92,7.803976645159446,68277.48056063025,55000.0,752842.9631983599,676.271186440678,594.3050847457627,310.2372881355932,1580.8135593220338,812999554.5347053,68270.65281257419,812931283.8818927,317198241.3088872,True,direct_cheaper_than_mining,-812931283.8818927,-495733042.5730055,4.328031647698929
224,   225 Henrietta,225,N,3.393519695778486,0.2641022812804333,20.86011700193405,1.58027,95.934,2.3487202106584205e+17,2.348720210658421e+16,0.9999,C,0.9999,6.148482226854504e+17,8.27230207386643,42130.16780180104,55000.0,1867141.6767323585,733.8983050847457,742.8813559322034,928.7118644067797,2405.491525423729,1927530042.2011187,42125.95478502086,1927487916.2463336,250980591.3282396,True,direct_cheaper_than_mining,-1927487916.2463336,-1676507324.918094,6.585876866320955
250894,250895 (2005 VT75),250895,N,3.103290336788552,0.1743891852654521,8.900101526015854,1.56282,4.893,31163000989539.168,3116300098953.917,0.9999,C,0.9999,81578536621830.28,8.832764049595811,60728.97869818185,55000.0,1116559.904508452,561.0169491525423,99.05084745762711,805.0169491525423,1465.084745762712,1176792148.9685898,60722.90580031203,1176731426.0627894,298081781.4716486,True,direct_cheaper_than_mining,-1176731426.0627894,-878649644.5911409,4.0111834244016755
6143,  6144 Kondojiro (1994 EQ3),6144,N,4.761392046272173,0.3615451544707015,5.88349032103415,2.04184,32.492,9125211936014398.0,912521193601440.0,0.9999,C,0.9999,2.3887989361294236e+16,9.762058571977391,51004.244298382706,55000.0,1543109.7812428304,1310.1694915254238,297.1525423728813,619.4745762711864,2226.7966101694915,1603430748.077329,50999.14387395287,1603379748.933455,273454047.6551699,True,direct_cheaper_than_mining,-1603379748.933455,-1329925701.278285,6.096636851935637
24453, 24454 (2000 QF198),24454,N,5.061071281515091,0.0314080686340007,4.176306226317712,3.89985,28.224,5980938222019989.0,598093822201998.9,0.9999,C,0.9999,1.5656906340366464e+16,9.605466441075468,51064.02240751976,55000.0,1729113.2949295582,964.406779661017,2179.1186440677966,1052.406779661017,4195.932203389831,1789472950.4949036,51058.91600527901,1789421891.5788982,273605434.75731117,True,direct_cheaper_than_mining,-1789421891.5788982,-1515816456.821587,11.48783628580378
609783,       (2010 MF96),2010 MF96,N,3.994876303077904,0.3270491160875869,11.12089394638253,1.68876,2.849,6151640874092.139,615164087409.2139,0.9999,C,0.9999,16103771921707.168,9.147791964659078,72072.8479630072,55000.0,1473801.7774729049,820.3389830508474,0.0,990.5593220338983,1810.8983050847457,1534108328.2426193,72065.6406782109,1534036262.601941,326809948.35184866,True,direct_cheaper_than_mining,-1534036262.601941,-1207226314.2500925,4.957969349992459
122732,122733 (2000 SK47),122733,N,5.110679299874785,0.0410255719969088,22.02072160177367,3.91472,15.235,940678031914967.0,94067803191496.7,0.9999,C,0.9999,2462507936950175.5,8.944741976150477,35567.24208023441,55000.0,2125377.4282587282,1166.1016949152543,0.0,1052.406779661017,2218.5084745762715,2185819506.763806,35563.68535602639,2185783943.0784497,234360087.25242618,True,direct_cheaper_than_mining,-2185783943.0784497,-1951423855.8260236,6.073945173377882
241709,241710 (2000 SF367),241710,N,3.401439858918646,0.1914958259757483,6.854588699171699,1.75017,6.471,72082165561144.64,7208216556114.465,0.9999,C,0.9999,188696768484671.84,7.975794495710494,62181.81039369886,55000.0,1294845.299072341,474.5762711864407,0.0,619.4745762711864,1094.050847457627,1355114626.894548,62175.592212659496,1355052451.3023353,301761054.4272242,True,direct_cheaper_than_mining,-1355052451.3023353,-1053291396.8751111,2.9953479738744067
16559, 16560 Daitor (1991 VZ5),16560,N,5.055443763142939,0.0411013086097112,15.31143661144302,3.83569,43.861,2.2446530013454644e+16,2244653001345464.5,0.9999,C,0.9999,5.876054977344147e+16,9.3639826435392,47229.105891687475,55000.0,1837309.3313212288,877.9661016949153,2080.0677966101694,866.8644067796611,3824.8983050847455,1897691491.6621435,47224.38298109831,1897644267.2791624,263893570.2191614,True,direct_cheaper_than_mining,-1897644267.2791624,-1633750697.060001,10.47200083527651
600114,       (2010 CK229),2010 CK229,N,2.157458066647194,0.2913843509873826,14.00654355422641,0.611311,2.659,5001135693100.322,500113569310.0322,0.9999,C,0.9999,13091978254189.324,6.216434755765355,94941.57621839957,55000.0,742729.8161918034,301.6949152542373,0.0,433.93220338983053,735.6271186440679,802884303.9935714,94932.08206077773,802789371.9115106,384724635.6883812,True,direct_cheaper_than_mining,-802789371.9115106,-418064736.2231294,2.0140372858153808
604446,       (2010 HY65),2010 HY65,N,2.578320902146184,0.1490676416156427,22.91867111593324,1.22056,3.722,13716481831503.19,1371648183150.319,0.9999,C,0.9999,35907020501317.25,7.425545273754954,55801.7392023288,55000.0,1181829.7785829394,503.3898305084746,0.0,619.4745762711864,1122.8644067796608,1242075599.1768847,55796.15902840857,1242019803.0178564,285603626.5149008,True,direct_cheaper_than_mining,-1242019803.0178564,-956416176.5029556,3.0742351999443143
214373,214374 (2005 LS9),214374,N,2.632075829646352,0.0938322279788179,12.77787830716847,1.40428,3.373,10208516845303.404,1020851684530.3405,0.9999,C,0.9999,26723866087181.688,5.963969678139738,58315.41711349062,55000.0,932252.5904564656,445.7627118644068,693.3559322033898,557.6271186440678,1696.7457627118642,992446498.9952805,58309.58557177927,992388189.4097087,291969475.48839396,True,direct_cheaper_than_mining,-992388189.4097087,-700418713.9213147,4.645436722003735
249245,249246 (2008 RS4),249246,N,3.983156311532116,0.1224821917006886,1.710168831716411,2.51164,5.026,33773889563716.22,3377388956371.622,0.9999,C,0.9999,88413323465225.7,7.546283910168456,65643.11262073195,55000.0,1323406.5649915326,532.2033898305085,1436.2372881355932,743.1694915254237,2711.6101694915255,1383681833.5570507,65636.54830946987,1383616197.0087411,310526746.7743094,True,direct_cheaper_than_mining,-1383616197.0087411,-1073089450.2344317,7.423984036937783
